Category,Type,Brand Name,Size,Strength,Retailer margin,Round Off,Special Purpose Fee,MRP,Bottle/case,,,,,,,,,,,,,,,,
Country Liquor,Country Liquor,SUN FIGHTER SPIRIT,600 ml,60,5.92,1.24,0,120,20,,,,,,,,,,,,,,,,
Country Liquor,Country Liquor,Teen Kuri,600 ml,60,5.92,1.24,0,120,20,,,,,,,,,,,,,,,,
Country Liquor,Country Liquor,TOOFAN STRONG,600 ml,60,5.92,1.24,0,120,20,,,,,,,,,,,,,,,,
Country Liquor,Country Liquor,TOOFAN STRONG,600 ml,60,5.92,1.24,0,120,20,,,,,,,,,,,,,,,,
Country Liquor,Country Liquor,TOP 70,300 ml,70,2.29,0.02,0,28,30,,,,,,,,,,,,,,,,
Country Liquor,Country Liquor,Uddan Premium,600 ml,60,5.92,1.24,0,120,20,,,,,,,,,,,,,,,,
Country Liquor,Country Liquor,Uddan Premium,600 ml,60,5.92,1.24,0,120,20,,,,,,,,,,,,,,,,
Country Liquor,Country Liquor,ULLASH,600 ml,60,5.92,1.24,0,120,20,,,,,,,,,,,,,,,,
Country Liquor,Country Spirit,Champion,600 ml,60,5.92,1.24,0,120,20,,,,,,,,,,,,,,,,
Country Liquor,Country Spirit,DIL DIAMOND,600 ml,80,4.19,2.04,0,55,20,,,,,,,,,,,,,,,,
IMFL,Draught Beer,CALDERA,2000 ml,,,,,4800,,,,,,,,,,,,,,,,,
IMFL,Draught Beer,Kingfisher Premium Lager Beer,2000 ml,,,,,2520,,,,,,,,,,,,,,,,,
IMFL,Draught Beer,Kingfisher Premium Lager Beer,2000 ml,,,,,3455,,,,,,,,,,,,,,,,,
IMFL,Draught Beer,Kingfisher Premium Lager Beer,2000 ml,,,,,5685,18,,,,,,,,,,,,,,,,
IMFL,Draught Beer,Kingfisher Strong Premium Beer,2000 ml,,,,,3305,,,,,,,,,,,,,,,,,
IMFL,Draught Beer,Kingfisher Strong Premium Beer,2000 ml,,,,,4715,,,,,,,,,,,,,,,,,
IMFL,Draught Beer,Kingfisher Strong Premium Beer,2000 ml,,,,,7860,18,,,,,,,,,,,,,,,,
IMFL,Gin,AMRUT Nilgiris INDIAN DRY GIN,750  ml,25,114.66,7.28,90,1850,12,,,,,,,,,,,,,,,,
OS,Gin,BEEFEATER LONDON DRY GIN,750  ml,25,109.59,4.81,90,1770,12,,,,,,,,,,,,,,,,
IMFL,Gin,Blue Lagoon Gin Orange,180 ml,25,8.95,8.26,15,160,48,,,,,,,,,,,,,,,,
IMFL,Gin,Blue Lagoon Gin Orange,375 ml,25,18.51,2.02,15,300,24,,,,,,,,,,,,,,,,
IMFL,Gin,Blue Lagoon Gin Orange,750  ml,25,,,15,590,12,,,,,,,,,,,,,,,,
OS,Gin,Bombay Sapphire Distilled London Dry Gin,750  ml,25,,,,2190,12,,,,,,,,,,,,,,,,
IMFL,Gin,CALCUTTA GIN,750  ml,25,41.67,8.03,25,670,12,,,,,,,,,,,,,,,,
OS,Gin,COBALTO 17 GIN,700 ml,25,240.75,0.02,10,3790,12,,,,,,,,,,,,,,,,
OS,Gin,Gordons London Dry Gin,750  ml,25,,,,1670,12,,,,,,,,,,,,,,,,
IMFL,Gin,GREATER THAN LONDON DRY GIN,750  ml,25,,,,1350,12,,,,,,,,,,,,,,,,
IMFL,Gin,HAPUSA HIMALAYAN DRY GIN,750  ml,25,173.48,8.23,100,2760,12,,,,,,,,,,,,,,,,
OS,Gin,J. LOGON'S ORIGINAL LONDON GIN,700 ml,25,,,,1950,12,,,,,,,,,,,,,,,,
OS,Gin,Jodhpur Imported London Dry Gin,700 ml,25,,,,3290,12,,,,,,,,,,,,,,,,
OS,Gin,MARTINI BIANCO VERMOUTH,1000 ml,25,,,,1930,9,,,,,,,,,,,,,,,,
IMFL,Gin,McDowells Blue Riband Tango Gin-N-Orange,180 ml,25,9.47,0.23,25,170,48,,,,,,,,,,,,,,,,
IMFL,Gin,McDowells Blue Riband Tango Gin-N-Orange,375 ml,25,19.59,5.62,25,330,24,,,,,,,,,,,,,,,,
IMFL,Gin,McDowells Blue Riband Tango Gin-N-Orange,750  ml,25,39.17,6.24,25,630,12,,,,,,,,,,,,,,,,
OS,Gin,MONKEY 47 SCHWARZWALD DRY GIN,500 ml,25,221.54,3.67,110,350 0,18,,,,,,,,,,,,,,,,
OS,Gin,Roku Gin,700 ml,25,241.76,4.59,110,3810,12,,,,,,,,,,,,,,,,
IMFL,Gin,S1 Yummy Orange Gin,180 ml,25,,,,160,48,,,,,,,,,,,,,,,,
IMFL,Gin,S1 Yummy Orange Gin,375 ml,25,,,,300,24,,,,,,,,,,,,,,,,
IMFL,Gin,S1 Yummy Orange Gin,750  ml,25,,,,580,12,,,,,,,,,,,,,,,,
OS,Gin,Tanquerary No Ten Distilled Gin,1000 ml,25,,,,3760,9,,,,,,,,,,,,,,,,
OS,Gin,Tanqueray London Dry Gin,750  ml,25,,,,2220,12,,,,,,,,,,,,,,,,
IMFL,Gin,TERAI INDIA DRY GIN,750  ml,25,132.74,0.96,100,2130,12,,,,,,,,,,,,,,,,
OS,Gin,THE ORIGINAL GORDONS LONDON DRY GIN,750  ml,25,,,,1540,12,,,,,,,,,,,,,,,,
IMFL,LAB,Bacardi + Cranberry Flavoured Rum Mixed Drink,275 ml,,6.37,2.71,10,110,24,,,,,,,,,,,,,,,,
IMFL,LAB,Bacardi + Orange Flavoured Rum Mixed Drink,275 ml,,6.37,2.71,10,110,24,,,,,,,,,,,,,,,,
IMFL,LAB,Bacardi + Super Select Cranberry Flavoured,275 ml,,6.37,2.71,10,110,24,,,,,,,,,,,,,,,,
IMFL,LAB,Bacardi + Super Select Orange Flavoured,275 ml,,6.37,2.71,10,110,24,,,,,,,,,,,,,,,,
IMFL,LAB,Breezer Blackberry Crush,275 ml,,,,,110,24,,,,,,,,,,,,,,,,
IMFL,LAB,Breezer Bliss Juniper N Lime Flavoured,275 ml,,,,,115,24,,,,,,,,,,,,,,,,
IMFL,LAB,Breezer Bliss Lemony Iced Tea Flavoured,275 ml,,,,,115,24,,,,,,,,,,,,,,,,
IMFL,LAB,Breezer Bliss Super Select Juniper & Lime Flavoured,275 ml,,6.86,0.18,10,115,24,,,,,,,,,,,,,,,,
IMFL,LAB,Breezer Bliss Super Select Lemony Iced Tea,275 ml,,6.86,0.18,10,115,24,,,,,,,,,,,,,,,,
IMFL,LAB,Breezer Blueberry,275 ml,,6.37,2.71,10,110,24,,,,,,,,,,,,,,,,
IMFL,LAB,Breezer Cranberry,275 ml,,6.37,2.71,10,110,24,,,,,,,,,,,,,,,,
