Category,Type,Brand Name,Size,Opening Stock
IMFL,Vodka,Magic Moments Remix Smooth Lemon Flavoured Vodka,180 ml,37
IMFL,Vodka,Magic Moments Remix Smooth Lemon Flavoured Vodka,375 ml,37
IMFL,Vodka,Magic Moments Remix Smooth Lemon Flavoured Vodka,750 ml,37
IMFL,Vodka,Magic Moments Remix Smooth Orange Flavoured Vodka,180 ml,37
IMFL,Vodka,Magic Moments Remix Smooth Orange Flavoured Vodka,375 ml,37
IMFL,Vodka,Magic Moments Remix Smooth Orange Flavoured Vodka,750 ml,37
IMFL,Vodka,Magic Moments Verve Green Apple Premium Flavoured Vodka,180 ml,37
IMFL,Vodka,Magic Moments Verve Green Apple Premium Flavoured Vodka,375 ml,37
IMFL,Vodka,Magic Moments Verve Green Apple Premium Flavoured Vodka,750 ml,37
IMFL,Vodka,Magic Moments Verve Premium Vodka,180 ml,37
IMFL,Vodka,Magic Moments Verve Premium Vodka,375 ml,37
IMFL,Vodka,Magic Moments Verve Premium Vodka,750 ml,37
IMFL,Vodka,Red Bliss Virgin Vodka,180 ml,37
IMFL,Vodka,Red Bliss Virgin Vodka,375 ml,37
IMFL,Vodka,Red Bliss Virgin Vodka,750 ml,37
IMFL,Vodka,S1 Vodka,180 ml,37
IMFL,Vodka,S1 Vodka,375 ml,37
IMFL,Vodka,S1 Vodka,500 ml,37
IMFL,Vodka,S1 Vodka,750 ml,37
IMFL,Vodka,Seagrams Fuel Vodka,180 ml,37
IMFL,Vodka,Seagrams Fuel Vodka,375 ml,37
IMFL,Vodka,Seagrams Fuel Vodka,750 ml,37
IMFL,Vodka,Smirnoff Triple Distilled Vodka,180 ml,37
IMFL,Vodka,Smirnoff Triple Distilled Vodka,375 ml,37
IMFL,Vodka,Smirnoff Triple Distilled Vodka,750 ml,37
IMFL,Vodka,Smrinoff Green Apple Triple Distilled Vodka,180 ml,37
IMFL,Vodka,Smrinoff Green Apple Triple Distilled Vodka,750 ml,37
IMFL,Vodka,Smrinoff Orange Triple Distilled Vodka,180 ml,37
IMFL,Vodka,White Mischief Green Apple Vodka,180 ml,37
IMFL,Vodka,White Mischief Green Apple Vodka,375 ml,37
IMFL,Vodka,White Mischief Green Apple Vodka,750 ml,37
IMFL,Vodka,White Mischief Lemon Vodka,180 ml,37
IMFL,Vodka,White Mischief Lemon Vodka,375 ml,37
IMFL,Vodka,White Mischief Lemon Vodka,750 ml,37
IMFL,Vodka,White Mischief Orange Vodka,180 ml,37
IMFL,Vodka,White Mischief Orange Vodka,375 ml,37
IMFL,Vodka,White Mischief Orange Vodka,750 ml,37
IMFL,Vodka,White Mischief Ultra Pure Vodka,180 ml,37
IMFL,Vodka,White Mischief Ultra Pure Vodka,375 ml,37
IMFL,Vodka,White Mischief Ultra Pure Vodka,750 ml,37
IMFL,Whisky,8 Pm Premium Black Whisky,180 ml,37
IMFL,Whisky,8 Pm Premium Black Whisky,375 ml,37
IMFL,Whisky,8 Pm Premium Black Whisky,750 ml,37
IMFL,Whisky,After Dark Premium Grain Whisky,180 ml,37
IMFL,Whisky,After Dark Premium Grain Whisky,375 ml,37
IMFL,Whisky,After Dark Premium Grain Whisky,750 ml,37
IMFL,Whisky,Amber Glen Blended Scotch Whisky,750 ml,37
IMFL,Whisky,Amrut Amalgam Malt Whisky,750 ml,37
IMFL,Whisky,Amrut Amalgam Peated Malt Whisky,750 ml,37
IMFL,Whisky,Amrut Fusion Single Malt Whisky,750 ml,37
IMFL,Whisky,Amrut Prestige Blended Malt Whisky,,37
IMFL,Whisky,Antiquity Blue Ultra Premium Whisky,180 ml,37
IMFL,Whisky,Antiquity Blue Ultra Premium Whisky,375 ml,37
IMFL,Whisky,Antiquity Blue Ultra Premium Whisky,750 ml,37
IMFL,Whisky,Antiquity Blue Ultra Premium Whisky- Gift Pack,750 ml,37
IMFL,Whisky,Astra Club Whiskey,375 ml,37
IMFL,Whisky,Astra Club Whiskey,500 ml,37
IMFL,Whisky,Astra Club Whiskey,750 ml,37
IMFL,Whisky,B & S Boiling Crowd Premium Whisky,180 ml,37
IMFL,Whisky,B & S Boiling Crowd Premium Whisky,375 ml,37
IMFL,Whisky,B & S Boiling Crowd Premium Whisky,750 ml,37
IMFL,Whisky,B & S Fire Water Classic Premium Whisky,180 ml,37
